loan_id,image_type,path,relative_path,size_bytes,width,height,status,error,split,predicted_type,confidence
loan_001,face_signing,D:\GitHub\jinchuang\data\loan_001\face_signing.jpg,loan_001\face_signing.jpg,151766,1024,1024,ok,,train,face_signing,0.99559695
loan_002,face_signing,D:\GitHub\jinchuang\data\loan_002\face_signing.jpg,loan_002\face_signing.jpg,179583,1024,1024,ok,,test,face_signing,0.99461395
loan_003,face_signing,D:\GitHub\jinchuang\data\loan_003\face_signing.jpg,loan_003\face_signing.jpg,168131,1024,1024,ok,,test,face_signing,0.98050505
loan_004,face_signing,D:\GitHub\jinchuang\data\loan_004\face_signing.jpg,loan_004\face_signing.jpg,164490,1024,1024,ok,,train,face_signing,0.9967344
loan_005,face_signing,D:\GitHub\jinchuang\data\loan_005\face_signing.jpg,loan_005\face_signing.jpg,183247,1024,1024,ok,,val,face_signing,0.98519135
loan_006,face_signing,D:\GitHub\jinchuang\data\loan_006\face_signing.jpg,loan_006\face_signing.jpg,149676,1024,1024,ok,,train,face_signing,0.9967257
loan_007,face_signing,D:\GitHub\jinchuang\data\loan_007\face_signing.jpg,loan_007\face_signing.jpg,161772,1024,1024,ok,,test,face_signing,0.9879181
loan_0075,face_signing,D:\GitHub\jinchuang\data\loan_0075\face_signing.jpg,loan_0075\face_signing.jpg,108004,1024,1024,ok,,train,face_signing,0.99939215
loan_0076,face_signing,D:\GitHub\jinchuang\data\loan_0076\face_signing.jpg,loan_0076\face_signing.jpg,130845,1024,1024,ok,,test,face_signing,0.99763036
loan_0077,face_signing,D:\GitHub\jinchuang\data\loan_0077\face_signing.jpg,loan_0077\face_signing.jpg,103857,1024,1024,ok,,train,face_signing,0.9985077
loan_0078,face_signing,D:\GitHub\jinchuang\data\loan_0078\face_signing.jpg,loan_0078\face_signing.jpg,136917,1024,1024,ok,,val,face_signing,0.99915063
loan_0079,face_signing,D:\GitHub\jinchuang\data\loan_0079\face_signing.jpg,loan_0079\face_signing.jpg,85651,1024,1024,ok,,train,face_signing,0.99804485
loan_008,face_signing,D:\GitHub\jinchuang\data\loan_008\face_signing.jpg,loan_008\face_signing.jpg,184467,1024,1024,ok,,train,face_signing,0.9829867
loan_0080,face_signing,D:\GitHub\jinchuang\data\loan_0080\face_signing.jpg,loan_0080\face_signing.jpg,135876,1024,1024,ok,,train,face_signing,0.99845374
loan_0081,face_signing,D:\GitHub\jinchuang\data\loan_0081\face_signing.jpg,loan_0081\face_signing.jpg,118383,1024,1024,ok,,test,face_signing,0.99601525
loan_0082,face_signing,D:\GitHub\jinchuang\data\loan_0082\face_signing.jpg,loan_0082\face_signing.jpg,114232,1024,1024,ok,,train,face_signing,0.9986884
