left_loan_id,right_loan_id,cosine_similarity,risk_level,query_path,match_path
loan_016,loan_058,0.9799247980117798,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_016\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_058\face_signing.jpg
loan_028,loan_065,0.9795780181884766,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_065\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_028\face_signing.jpg
loan_043,loan_070,0.9789483547210692,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_043\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_070\face_signing.jpg
loan_042,loan_068,0.9789076447486876,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_068\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_042\face_signing.jpg
loan_025,loan_063,0.9788599014282228,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_025\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_063\face_signing.jpg
loan_068,loan_069,0.9786275625228882,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_068\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_069\face_signing.jpg
loan_023,loan_062,0.978282392024994,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_062\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_023\face_signing.jpg
loan_013,loan_057,0.977027177810669,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_013\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_057\face_signing.jpg
loan_070,loan_071,0.9767934679985046,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_070\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_071\face_signing.jpg
loan_028,loan_064,0.976655662059784,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_064\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_028\face_signing.jpg
loan_042,loan_069,0.9760713577270508,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_042\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_069\face_signing.jpg
loan_072,loan_073,0.9757980704307556,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_072\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_073\face_signing.jpg
loan_060,loan_061,0.9756958484649658,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_060\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_061\face_signing.jpg
loan_035,loan_066,0.9756929278373718,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_066\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_035\face_signing.jpg
loan_035,loan_067,0.9756802916526794,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_035\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_067\face_signing.jpg
loan_012,loan_056,0.9756375551223756,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_056\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_012\face_signing.jpg
loan_043,loan_071,0.975453555583954,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_043\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_071\face_signing.jpg
loan_002,loan_051,0.9753119349479676,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_002\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_051\face_signing.jpg
loan_017,loan_060,0.974828600883484,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_060\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_017\face_signing.jpg
loan_064,loan_065,0.9747915863990784,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_064\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_065\face_signing.jpg
loan_005,loan_052,0.9747554659843444,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_052\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_005\face_signing.jpg
loan_045,loan_073,0.9726481437683104,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_045\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_073\face_signing.jpg
loan_045,loan_072,0.9725449085235596,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_072\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_045\face_signing.jpg
loan_012,loan_055,0.972240686416626,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_012\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_055\face_signing.jpg
loan_055,loan_056,0.971032977104187,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_055\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_056\face_signing.jpg
loan_003,loan_005,0.9633510112762452,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_005\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_003\face_signing.jpg
loan_005,loan_008,0.9618053436279296,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_008\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_005\face_signing.jpg
loan_002,loan_004,0.9545402526855468,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_002\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_004\face_signing.jpg
loan_003,loan_008,0.9527286291122437,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_003\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_008\face_signing.jpg
loan_003,loan_011,0.9526364803314208,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_011\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_003\face_signing.jpg
loan_004,loan_051,0.9520628452301024,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_051\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_004\face_signing.jpg
loan_008,loan_052,0.9510906338691713,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_008\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_052\face_signing.jpg
loan_003,loan_009,0.9510425329208374,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_009\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_003\face_signing.jpg
loan_007,loan_009,0.9505079388618468,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_009\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_007\face_signing.jpg
loan_003,loan_052,0.9503746032714844,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_052\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_003\face_signing.jpg
loan_010,loan_026,0.9502846598625184,medium,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_026\face_signing.jpg,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_010\face_signing.jpg
