threshold,tp,fp,fn,precision,recall,f1,review_count
0.05,3647,10080,4,0.26568077511473737,0.9989044097507532,0.4197260904592013,13727
0.1,3636,8223,15,0.30660258031874527,0.9958915365653246,0.4688588007736944,11859
0.15,3622,7159,29,0.33596141359799647,0.9920569706929608,0.5019401330376939,10781
0.2,3593,6457,58,0.35751243781094527,0.9841139413859217,0.5244872637033793,10050
0.25,3554,5995,97,0.37218556916954654,0.9734319364557655,0.5384848484848485,9549
0.3,3507,5617,144,0.38437088996054364,0.9605587510271159,0.549041095890411,9124
0.35,3442,5303,209,0.3935963407661521,0.9427554094768557,0.5553404323975476,8745
0.39999999999999997,3377,4997,274,0.40327203248149035,0.9249520679265955,0.5616632016632016,8374
0.44999999999999996,3300,4698,351,0.41260315078769694,0.903861955628595,0.5665722379603401,7998
0.49999999999999994,3196,4357,455,0.42314312193830267,0.8753766091481786,0.570510531952874,7553
0.5499999999999999,3091,3937,560,0.4398121798520205,0.8466173651054506,0.5788931547897742,7028
0.6,2956,3456,695,0.4610106051154086,0.8096411941933717,0.5874987578256982,6412
0.65,2798,2932,853,0.4883071553228621,0.7663653793481238,0.5965248907365952,5730
0.7,2611,2400,1040,0.5210536818998204,0.7151465351958367,0.6028630801200645,5011
0.75,2308,1814,1343,0.5599223677826298,0.632155573815393,0.593850508169304,4122
0.7999999999999999,1955,1287,1696,0.6030228254164096,0.5354697343193645,0.5672421296967939,3242
0.85,1298,813,2353,0.6148744670772146,0.35551903588058065,0.4505380076362374,2111
0.9,657,361,2994,0.6453831041257367,0.1799506984387839,0.28143071321482116,1018
0.95,339,44,3312,0.8851174934725848,0.09285127362366474,0.16807139315815567,383
