source_loan_id,target_loan_id,cosine_similarity,fraud_type,fraud_score,risk_cluster_id,cross_business_scene,innovation_tags
loan_3096,loan_4127,1.0000003576278687,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
loan_3073,loan_4104,1.000000238418579,cross_customer_candidate,1.0,RISK_CLUSTER_235,False,风险关系簇、高连接节点、极高综合欺诈分
loan_3164,loan_4195,1.000000238418579,cross_customer_candidate,1.0,RISK_CLUSTER_239,False,风险关系簇、高连接节点、极高综合欺诈分
loan_4122,loan_3091,1.000000238418579,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
loan_4175,loan_3144,1.000000238418579,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
loan_3116,loan_4147,1.0000001192092896,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
loan_3146,loan_4177,1.0000001192092896,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
loan_3060,loan_4091,1.0,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
loan_3086,loan_4117,1.0,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
loan_3128,loan_4159,0.9999999403953552,cross_customer_candidate,1.0,RISK_CLUSTER_373,False,风险关系簇、高连接节点、极高综合欺诈分
loan_4194,loan_3163,0.9999999403953552,cross_customer_candidate,1.0,RISK_CLUSTER_238,False,风险关系簇、高连接节点、极高综合欺诈分
loan_4114,loan_3083,0.9999998807907104,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
loan_4164,loan_3133,0.9999998807907104,cross_customer_candidate,1.0,RISK_CLUSTER_328,False,风险关系簇、高连接节点、极高综合欺诈分
loan_2204,loan_3092,0.9999682307243347,cross_customer_candidate,1.0,RISK_CLUSTER_283,False,风险关系簇、高连接节点、极高综合欺诈分
loan_2322,loan_3747,0.9999641180038452,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
loan_2439,loan_4026,0.999962329864502,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
loan_2388,loan_3918,0.9999569654464722,cross_customer_candidate,1.0,RISK_CLUSTER_120,False,风险关系簇、高连接节点、极高综合欺诈分
