query_loan_id,match_loan_id,stage1_similarity_probability,stage1_predicted_similar,stage2_predicted_type,stage2_table_type,name_match,id_match,id_conflict,same_iddd_pair,renewal_base_pair,query_edit_type,match_edit_type,query_base_from,match_base_from,query_customer_id_hash,match_customer_id_hash,query_path,match_path
loan_0075,loan_3044,0.9772394648258227,True,same_customer_repeat_review,same_customer_repeat_review,True,True,False,True,False,,,,,187ec4689d68661ccffe4644875f01f0f986d2655d2cd451d7f382bc057d55e2,187ec4689d68661ccffe4644875f01f0f986d2655d2cd451d7f382bc057d55e2,D:\GitHub\jinchuang\data\loan_0075\face_signing.jpg,D:\GitHub\jinchuang\data\loan_3044\face_signing.jpg
loan_0075,loan_4075,0.9734802353185215,True,same_customer_repeat_review,same_customer_repeat_review,True,True,False,True,False,,,,,187ec4689d68661ccffe4644875f01f0f986d2655d2cd451d7f382bc057d55e2,187ec4689d68661ccffe4644875f01f0f986d2655d2cd451d7f382bc057d55e2,D:\GitHub\jinchuang\data\loan_0075\face_signing.jpg,D:\GitHub\jinchuang\data\loan_4075\face_signing.jpg
loan_0076,loan_3045,0.8822476281883851,True,same_customer_repeat_review,same_customer_repeat_review,True,True,False,True,False,,,,,3daa951e6e843ab1ce4056d23a86cff27d83205d6804ee126f9fc024cdf4fdcc,3daa951e6e843ab1ce4056d23a86cff27d83205d6804ee126f9fc024cdf4fdcc,D:\GitHub\jinchuang\data\loan_0076\face_signing.jpg,D:\GitHub\jinchuang\data\loan_3045\face_signing.jpg
loan_0076,loan_4076,0.6760784461937639,True,same_customer_repeat_review,same_customer_repeat_review,True,True,False,True,False,,,,,3daa951e6e843ab1ce4056d23a86cff27d83205d6804ee126f9fc024cdf4fdcc,3daa951e6e843ab1ce4056d23a86cff27d83205d6804ee126f9fc024cdf4fdcc,D:\GitHub\jinchuang\data\loan_0076\face_signing.jpg,D:\GitHub\jinchuang\data\loan_4076\face_signing.jpg
loan_0077,loan_4050,0.6882643715631115,True,cross_customer_fraud,not_labeled_similar,False,False,True,True,False,,,,,9a30b9061dcc7f15ed97f01d9b49c6ad42929c17cac634d28cf294041811f097,dce77f70a96815db6f01e32b589d6d0849b58d4cb62f87f808995b110c9cb0d5,D:\GitHub\jinchuang\data\loan_0077\face_signing.jpg,D:\GitHub\jinchuang\data\loan_4050\face_signing.jpg
loan_0077,loan_1788,0.49214242363564564,True,cross_customer_fraud,not_labeled_similar,False,False,True,True,False,,,,,9a30b9061dcc7f15ed97f01d9b49c6ad42929c17cac634d28cf294041811f097,59b5c62f9a112a9675bfa540e9c251bee9d54e4d3199d8747b1cdafb333b9733,D:\GitHub\jinchuang\data\loan_0077\face_signing.jpg,D:\GitHub\jinchuang\data\loan_1788\face_signing.jpg
loan_0077,loan_3046,0.583996818758122,True,same_customer_repeat_review,same_customer_repeat_review,True,True,False,True,False,,,,,9a30b9061dcc7f15ed97f01d9b49c6ad42929c17cac634d28cf294041811f097,9a30b9061dcc7f15ed97f01d9b49c6ad42929c17cac634d28cf294041811f097,D:\GitHub\jinchuang\data\loan_0077\face_signing.jpg,D:\GitHub\jinchuang\data\loan_3046\face_signing.jpg
loan_0077,loan_4077,0.8674241249990858,True,same_customer_repeat_review,same_customer_repeat_review,True,True,False,True,False,,,,,9a30b9061dcc7f15ed97f01d9b49c6ad42929c17cac634d28cf294041811f097,9a30b9061dcc7f15ed97f01d9b49c6ad42929c17cac634d28cf294041811f097,D:\GitHub\jinchuang\data\loan_0077\face_signing.jpg,D:\GitHub\jinchuang\data\loan_4077\face_signing.jpg
loan_0078,loan_3047,0.8526551540649746,True,same_customer_repeat_review,same_customer_repeat_review,True,True,False,True,False,,,,,9e8c4542ce664469a649493ca13ef934b2638711b1f49f74a28e56c0b3f98c59,9e8c4542ce664469a649493ca13ef934b2638711b1f49f74a28e56c0b3f98c59,D:\GitHub\jinchuang\data\loan_0078\face_signing.jpg,D:\GitHub\jinchuang\data\loan_3047\face_signing.jpg
loan_0078,loan_4078,0.9397943350376912,True,same_customer_repeat_review,same_customer_repeat_review,True,True,False,True,False,,,,,9e8c4542ce664469a649493ca13ef934b2638711b1f49f74a28e56c0b3f98c59,9e8c4542ce664469a649493ca13ef934b2638711b1f49f74a28e56c0b3f98c59,D:\GitHub\jinchuang\data\loan_0078\face_signing.jpg,D:\GitHub\jinchuang\data\loan_4078\face_signing.jpg
loan_0079,loan_4079,0.9657359156892132,True,same_customer_repeat_review,same_customer_repeat_review,True,True,False,True,False,,,,,c582cafef5c88b903020190ef530b0dc53aa119f8a34fffeb91504bed320bff4,c582cafef5c88b903020190ef530b0dc53aa119f8a34fffeb91504bed320bff4,D:\GitHub\jinchuang\data\loan_0079\face_signing.jpg,D:\GitHub\jinchuang\data\loan_4079\face_signing.jpg
loan_0079,loan_3048,0.9657359156892132,True,same_customer_repeat_review,same_customer_repeat_review,True,True,False,True,False,,,,,c582cafef5c88b903020190ef530b0dc53aa119f8a34fffeb91504bed320bff4,c582cafef5c88b903020190ef530b0dc53aa119f8a34fffeb91504bed320bff4,D:\GitHub\jinchuang\data\loan_0079\face_signing.jpg,D:\GitHub\jinchuang\data\loan_3048\face_signing.jpg
