threshold,precision,recall,f1,review_count,tp,fp,fn
0.5,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.51,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.52,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.53,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.54,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.55,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.56,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.57,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.58,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.59,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.6,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.61,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.62,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.63,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.64,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.65,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.66,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.67,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.68,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.69,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.7,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.71,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.72,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.73,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.74,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.75,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.76,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.77,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.78,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.79,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.8,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.81,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.82,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.83,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.84,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.85,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.86,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.87,0.12992125984251968,1.0,0.22996515679442509,254,33,221,0
0.88,0.13095238095238096,1.0,0.23157894736842108,252,33,219,0
0.89,0.13580246913580246,1.0,0.2391304347826087,243,33,210,0
0.9,0.14666666666666667,1.0,0.2558139534883721,225,33,192,0
0.91,0.16336633663366337,1.0,0.28085106382978725,202,33,169,0
0.92,0.2129032258064516,1.0,0.35106382978723405,155,33,122,0
0.93,0.3333333333333333,1.0,0.5,99,33,66,0
0.94,0.515625,1.0,0.6804123711340206,64,33,31,0
0.95,0.75,1.0,0.8571428571428571,44,33,11,0
0.96,0.9428571428571428,1.0,0.9705882352941176,35,33,2,0
0.97,1.0,1.0,1.0,33,33,0,0
0.98,1.0,0.24242424242424243,0.3902439024390244,8,8,0,25
0.99,1.0,0.0,0.0,0,0,0,33
1.0,1.0,0.0,0.0,0,0,0,33
